Timestamp,Wecd_R,Timestamp,Wecd_L
47408455,16.561,47408455,26.2451
47424003,18.499,47424003,24.8734
47463390,20.8579,47463390,24.4217
47484453,17.5573,47484453,27.9602
47499696,17.4475,47499696,26.1615
47526568,19.6485,47526568,24.4145
47557343,21.0426,47557343,22.7322
47578504,17.9802,47578504,22.9063
47594243,18.5802,47594243,21.7672
47611325,17.9505,47611325,25.7837
47640242,17.9145,47640242,23.7312
47655215,21.1374,47655215,25.8164
47670883,19.1007,47670883,25.0862
47687436,18.2845,47687436,26.8509
47703803,17.4296,47703803,23.6342
47721556,17.5968,47721556,24.4965
47763829,20.0337,47763829,28.8834
47782227,17.2426,47782227,26.3442
47798023,20.142,47798023,25.1262
47813799,16.3116,47813799,24.8689
47828891,15.6549,47828891,27.201
47843712,19.0455,47843712,25.8967
47860801,16.7861,47860801,22.9479
47891132,16.0947,47891132,25.6589
47906408,15.8823,47906408,27.08
47923644,15.8083,47923644,31.0522
47937928,14.6702,47937928,29.7847
47955043,18.1406,47955043,25.3755
47971220,16.2149,47971220,25.2256
48001612,14.6702,48001612,25.5145
48020022,14.8806,48020022,29.44
48059771,16.0546,48059771,29.0269
48080904,13.8948,48080904,27.5225
48098468,12.8743,48098468,27.4889
48128665,18.073,48128665,28.2646
48143919,13.2672,48143919,26.5026
48159853,12.2508,48159853,24.0188
48191473,15.1706,48191473,26.0838
48205455,13.929,48205455,25.968
48222693,11.7872,48222693,30.8052
48252573,14.1625,48252573,30.3771
48267807,12.2306,48267807,27.6532
48296006,11.5272,48296006,29.2522
48315182,13.8909,48315182,27.3773
48331727,12.6078,48331727,27.4435
48362444,14.5252,48362444,28.4896
48376436,12.4625,48376436,26.5263
48403846,14.7386,48403846,27.3457
48420718,13.8697,48420718,26.8562
48451962,13.8972,48451962,23.8765
48471345,15.6357,48471345,24.8674
48487874,13.7131,48487874,28.3166
48502701,15.6969,48502701,27.6614
48514114,15.639,48514114,30.1905
48545360,15.0834,48545360,25.5807
48577090,16.1206,48577090,25.746
48597391,13.8036,48597391,28.1556
48616500,15.9546,48616500,27.1959
48644470,17.6485,48644470,24.3326
48659157,15.6346,48659157,24.8544
48675343,16.2469,48675343,23.264
48691741,14.5364,48691741,29.4201
48721169,15.0789,48721169,30.8757
48738272,15.8155,48738272,27.9384
48762866,14.0127,48762866,28.1985
48783454,13.4726,48783454,24.9795
48799243,17.4483,48799243,26.0759
48809773,15.7783,48809773,25.7161
48832808,13.8602,48832808,26.4689
48861483,12.4619,48861483,27.4131
48876826,13.2641,48876826,26.2865
48893959,11.1752,48893959,24.8135
48910111,11.9403,48910111,23.9426
48951695,11.0497,48951695,29.099
48970783,9.91212,48970783,22.8122
48983140,16.6414,48983140,24.9998
49000913,12.5857,49000913,25.926
49012228,15.4553,49012228,23.4178
49032743,12.3674,49032743,26.3664
49075022,12.4515,49075022,28.6503
49106513,12.8813,49106513,27.1852
49137647,12.5404,49137647,25.5542
49153101,13.5133,49153101,25.0581
49169171,11.4823,49169171,26.4967
49189834,15.1312,49189834,27.1393
49205428,12.0054,49205428,29.425
49220945,15.2558,49220945,26.7126
49241632,11.101,49241632,26.5106
49266836,13.585,49266836,28.6406
49284954,14.3156,49284954,25.0652
49313870,13.0915,49313870,29.447
49323192,14.558,49323192,26.5983
49344431,13.9907,49344431,30.7091
49376386,18.4293,49376386,30.3733
49393397,18.7965,49393397,27.4901
49422016,16.921,49422016,26.6498
49438934,15.7533,49438934,27.0837
49455515,20.8385,49455515,25.5453
49470009,17.4874,49470009,27.5705
49486960,19.1167,49486960,27.3495
49517782,19.3783,49517782,28.7536
49559860,19.8638,49559860,26.5298
49589360,22.9561,49589360,24.9933
49609912,23.3143,49609912,28.8768
49631374,19.7307,49631374,25.9437
49656054,22.4712,49656054,25.9688
49682369,19.8285,49682369,30.2409
49702529,18.7586,49702529,30.02
49718545,21.7124,49718545,29.3867
49737575,16.8729,49737575,27.268
49766755,20.8706,49766755,25.6135
49783674,18.3639,49783674,24.8025
49818900,14.6563,49818900,24.8728
49840573,15.6137,49840573,26.2977
49862288,15.4672,49862288,27.2454
49902518,15.634,49902518,27.1575
49934431,12.3663,49934431,26.2349
49955181,11.1759,49955181,25.7143
49970177,10.6494,49970177,24.053
49997754,11.3098,49997754,23.8416
50017687,13.271,50017687,27.0583
50044559,12.0034,50044559,27.8983
50076035,12.0845,50076035,30.165
50095914,11.9111,50095914,30.8063
50123195,14.9022,50123195,29.3038
50143315,12.4294,50143315,28.9545
50171667,11.2727,50171667,25.9858
50190395,12.2175,50190395,27.3543
50221266,15.3987,50221266,27.6055
50248253,14.7132,50248253,27.1096
50268398,15.0899,50268398,27.6265
50295501,14.5446,50295501,28.8026
50314973,17.0998,50314973,27.3606
50331526,16.7179,50331526,28.1139
50362404,15.2515,50362404,26.1967
50378999,14.4256,50378999,23.8001
50408169,15.3358,50408169,25.2383
50424488,15.7769,50424488,23.3727
50441251,14.9126,50441251,25.9993
50462908,15.8867,50462908,27.3008
50490659,16.3375,50490659,28.1944
